Taxa S.bin_Mincm Maxcm Feeding guild n
Scophthalmus rhombus_12 9 16 Plank 96
Scyliorhinus canicula_12 15 27 Plank 1223
Sebastes norvegicus_13 15 28 Plank 861
Sebastes norvegicus_14 28 53 Plank 901
Sprattus sprattus_11 6 11 Plank 652
Sprattus sprattus_12 11 21 Plank 322
Trachinus draco_13 20 37 Plank 193
Trachurus trachurus_12 10 19 Plank 268
Trachurus trachurus_13 19 36 Plank 2450
Trachurus trachurus_14 36 67 Plank 190
Trisopterus esmarkii_10 3 6 Plank 46
Trisopterus esmarkii_11 6 11 Plank 751
Trisopterus esmarkii_12 11 19 Plank 620
Trisopterus esmarkii_13 19 35 Plank 108
Trisopterus minutus_11 5 10 Plank 31
Zeus faber_11 4 8 Plank 40
Zeus faber_12 8 15 Plank 512
Agonus cataphractus_11 5 9 Benth 124
Amblyraja radiata_12 11 20 Benth 76
Amblyraja radiata_13 20 38 Benth 1465
Anarhichas lupus_12 12 21 Benth 431
Anarhichas lupus_13 21 36 Benth 1316
Anarhichas lupus_14 36 65 Benth 1127
Anarhichas lupus_15 65 114 Benth 490
Arnoglossus imperialis_12 11 19 Benth 38
Arnoglossus laterna_11 7 11 Benth 164
Arnoglossus laterna_12 11 20 Benth 150
Callionymus lyra_12 10 21 Benth 744
Callionymus lyra_13 21 44 Benth 1330
Chelidonichthys cuculus_11 6 10 Benth 74
Chelidonichthys cuculus_12 10 18 Benth 938
Chelidonichthys cuculus_13 18 33 Benth 3995
Chelidonichthys lucerna_13 17 33 Benth 911
Chelidonichthys obscurus_12 11 19 Benth 94
Chelidonichthys obscurus_13 19 35 Benth 511
Chimaera monstrosa_14 55 100 Benth 60
Chimaera monstrosa_15 100 183 Benth 51
Ciliata mustela_12 13 23 Benth 64
Citharus linguatula_12 11 20 Benth 156
Conger conger_12 21 36 Benth 641
Dicentrarchus labrax_12 10 18 Benth 39
Dicentrarchus labrax_13 18 33 Benth 144
Enchelyopus cimbrius_12 13 23 Benth 63
Enchelyopus cimbrius_13 23 42 Benth 86
Eutrigla gurnardus_11 5 10 Benth 31
Eutrigla gurnardus_12 10 19 Benth 6053
Gadus morhua_12 10 19 Benth 10464
Gadus morhua_13 19 34 Benth 47461
Gaidropsarus macrophthalmus_11 6 12 Benth 205
Gaidropsarus macrophthalmus_12 12 22 Benth 587
Glyptocephalus cynoglossus_13 22 38 Benth 68
Helicolenus dactylopterus_12 8 15 Benth 1329
Hippoglossoides platessoides_11 6 11 Benth 81
Hippoglossoides platessoides_12 11 20 Benth 1957
Lepidorhombus boscii_11 6 11 Benth 151
Lepidorhombus boscii_12 11 21 Benth 13160
Lepidorhombus boscii_13 21 37 Benth 14638
Lepidorhombus boscii_14 37 68 Benth 51
Lepidotrigla cavillone_11 5 9 Benth 49
Lepidotrigla cavillone_12 9 17 Benth 56
Lepidotrigla dieuzeidei_12 9 17 Benth 65
Leucoraja naevus_13 23 42 Benth 231
Limanda limanda_11 6 10 Benth 68
Limanda limanda_12 10 18 Benth 1119
Limanda limanda_13 18 33 Benth 3972
Lumpenus lampretaeformis_12 21 50 Benth 86
Malacocephalus laevis_12 15 28 Benth 32
Melanogrammus aeglefinus_11 6 10 Benth 357
Melanogrammus aeglefinus_12 10 19 Benth 10466
Microchirus variegatus_12 10 18 Benth 45
Microstomus kitt_12 10 18 Benth 94
Microstomus kitt_13 18 33 Benth 577
Microstomus kitt_14 33 60 Benth 583
Mullus surmuletus_12 9 17 Benth 163
Mullus surmuletus_13 17 30 Benth 887
Mullus surmuletus_14 30 55 Benth 66
Nezumia aequalis_12 13 25 Benth 74
Pagellus acarne_13 16 28 Benth 776
Pagellus acarne_14 28 51 Benth 614
Pagellus erythrinus_13 15 29 Benth 111
Pagellus erythrinus_14 29 54 Benth 121
Phycis blennoides_12 11 21 Benth 1199
Phycis blennoides_13 21 37 Benth 569
